id,strongly_agree,agree,neither,disagree,strongly_disagree,missing,n
Adelaide,18.8,12.5,25,31.2,12.5,0,32
Aston,36,16,8,24,16,0,25
Ballarat,20.7,17.2,13.8,20.7,27.6,0,29
Banks,16,40,28,8,8,0,25
Barker,28.6,32.1,7.1,21.4,10.7,0,28
Barton,17.4,13,8.7,21.7,26.1,13,23
Bass,32.3,22.6,22.6,6.5,16.1,0,31
Batman,17.2,17.2,6.9,20.7,37.9,0,29
Bendigo,20.7,27.6,17.2,6.9,20.7,6.9,29
Bennelong,20.7,13.8,20.7,10.3,24.1,10.3,29
Berowra,20,20,22.9,11.4,22.9,2.9,35
Blair,40,10,23.3,6.7,16.7,3.3,30
Blaxland,28,36,20,8,8,0,25
Bonner,26.3,21.1,23.7,10.5,13.2,5.3,38
Boothby,19.4,22.2,8.3,33.3,16.7,0,36
Bowman,24,32,16,20,4,4,25
Braddon,25,17.9,17.9,28.6,10.7,0,28
Bradfield,22.2,22.2,14.8,25.9,14.8,0,27
Brand,52,12,28,8,0,0,25
Brisbane,20,20,16.7,13.3,30,0,30
Bruce,22.2,25.9,25.9,14.8,0,11.1,27
Calare,51.7,17.2,10.3,6.9,13.8,0,29
Calwell,9.1,31.8,9.1,27.3,22.7,0,22
Canberra,14.3,7.1,28.6,17.9,32.1,0,28
Canning,52,16,20,4,8,0,25
Capricornia,47.4,31.6,15.8,0,0,5.3,19
Casey,27.6,17.2,6.9,27.6,17.2,3.4,29
Charlton,47.8,13,17.4,13,8.7,0,23
Chifley,42.9,23.8,14.3,9.5,9.5,0,21
Chisholm,25,16.7,29.2,8.3,16.7,4.2,24
Cook,31.8,18.2,13.6,13.6,18.2,4.5,22
Corangamite,20,13.3,20,26.7,16.7,3.3,30
Corio,20.8,25,29.2,12.5,8.3,4.2,24
Cowan,29.6,22.2,18.5,11.1,14.8,3.7,27
Cowper,43.2,18.9,5.4,8.1,18.9,5.4,37
Cunningham,25,17.9,28.6,17.9,10.7,0,28
Curtin,6.9,17.2,13.8,31,20.7,10.3,29
Dawson,33.3,33.3,12.5,12.5,4.2,4.2,24
Deakin,13.6,22.7,13.6,18.2,31.8,0,22
Denison,17.2,27.6,10.3,27.6,17.2,0,29
Dickson,21.7,21.7,17.4,21.7,17.4,0,23
Dobell,29.4,23.5,0,35.3,11.8,0,17
Dunkley,32.1,35.7,10.7,3.6,14.3,3.6,28
Durack,18.8,6.2,25,37.5,6.2,6.2,16
Eden-Monaro,36.8,10.5,13.2,23.7,13.2,2.6,38
Fadden,45.5,18.2,13.6,18.2,0,4.5,22
Fairfax,32.3,16.1,12.9,22.6,12.9,3.2,31
Farrer,22.6,25.8,22.6,19.4,9.7,0,31
Fisher,28.9,28.9,13.2,15.8,7.9,5.3,38
Flinders,21.9,28.1,18.8,25,6.2,0,32
Flynn,53.8,23.1,11.5,7.7,0,3.8,26
Forde,36.8,15.8,21.1,10.5,15.8,0,19
Forrest,39.1,17.4,8.7,13,17.4,4.3,23
Fowler,37.5,12.5,31.2,12.5,6.2,0,16
Franklin,24.3,18.9,13.5,13.5,27,2.7,37
Fraser,6.7,10,6.7,23.3,46.7,6.7,30
Fremantle,19.4,38.7,12.9,12.9,16.1,0,31
Gellibrand,22.2,5.6,11.1,22.2,38.9,0,18
Gilmore,30.6,11.1,25,16.7,13.9,2.8,36
Gippsland,45.2,22.6,6.5,16.1,9.7,0,31
Goldstein,4.5,18.2,22.7,18.2,36.4,0,22
Gorton,52.9,11.8,29.4,5.9,0,0,17
Grayndler,10,15,5,0,70,0,20
Greenway,50,20.8,12.5,8.3,0,8.3,24
Grey,35.5,29,12.9,12.9,3.2,6.5,31
Griffith,23.5,5.9,5.9,29.4,35.3,0,17
Groom,48.1,22.2,14.8,7.4,3.7,3.7,27
Hasluck,26.1,30.4,17.4,4.3,4.3,17.4,23
Herbert,33.3,16.7,20.8,12.5,12.5,4.2,24
Higgins,17.6,8.8,17.6,26.5,29.4,0,34
Hindmarsh,20,40,16.7,10,13.3,0,30
Hinkler,32.1,25,21.4,10.7,7.1,3.6,28
Holt,30.8,3.8,38.5,19.2,7.7,0,26
Hotham,20.8,20.8,16.7,20.8,20.8,0,24
Hughes,28.6,10.7,28.6,21.4,10.7,0,28
Hume,40,12.5,25,7.5,10,5,40
Hunter,30.4,26.1,13,4.3,17.4,8.7,23
Indi,32.1,14.3,17.9,21.4,14.3,0,28
Isaacs,28,16,28,8,12,8,25
Jagajaga,8,12,20,24,32,4,25
Kennedy,40.6,9.4,21.9,15.6,9.4,3.1,32
Kingsford Smith,23.1,19.2,19.2,11.5,19.2,7.7,26
Kingston,22.2,27.8,13.9,19.4,8.3,8.3,36
Kooyong,11.5,30.8,11.5,19.2,26.9,0,26
La Trobe,22.2,22.2,18.5,22.2,11.1,3.7,27
Lalor,40.9,22.7,13.6,18.2,4.5,0,22
Leichhardt,26.3,15.8,21.1,15.8,10.5,10.5,19
Lilley,32.1,14.3,28.6,7.1,17.9,0,28
Lindsay,40,16,4,28,12,0,25
Lingiari,54.5,0,9.1,18.2,18.2,0,11
Longman,37.5,25,4.2,25,8.3,0,24
Lyne,30,23.3,16.7,10,20,0,30
Lyons,35.3,14.7,8.8,17.6,20.6,2.9,34
Macarthur,33.3,33.3,13.3,13.3,0,6.7,15
Mackellar,20.7,27.6,6.9,24.1,17.2,3.4,29
Macquarie,25,21.4,7.1,14.3,32.1,0,28
Makin,45.5,15.2,15.2,18.2,6.1,0,33
Mallee,27.6,24.1,17.2,20.7,3.4,6.9,29
Maranoa,43.5,17.4,21.7,13,4.3,0,23
Maribyrnong,18.2,13.6,31.8,13.6,18.2,4.5,22
Mayo,39.4,15.2,15.2,6.1,24.2,0,33
McEwen,37.5,16.7,33.3,4.2,4.2,4.2,24
McMahon,38.9,27.8,22.2,0,5.6,5.6,18
McMillan,50,17.9,10.7,14.3,7.1,0,28
Mcpherson,15,35,5,20,25,0,20
Melbourne,4,4,8,40,44,0,25
Melbourne Ports,13.3,20,16.7,23.3,23.3,3.3,30
Menzies,17.4,21.7,17.4,21.7,13,8.7,23
Mitchell,21.1,10.5,26.3,26.3,15.8,0,19
Moncrieff,26.9,34.6,15.4,11.5,3.8,7.7,26
Moore,31,13.8,24.1,17.2,10.3,3.4,29
Moreton,17.9,32.1,14.3,21.4,10.7,3.6,28
Murray,27.3,27.3,9.1,15.2,18.2,3,33
New England,33.3,14.8,14.8,18.5,14.8,3.7,27
Newcastle,29.4,20.6,11.8,14.7,17.6,5.9,34
North Sydney,21.7,17.4,8.7,30.4,21.7,0,23
O'Connor,30.4,21.7,17.4,26.1,4.3,0,23
Oxley,17.9,28.6,10.7,17.9,17.9,7.1,28
Page,44.8,6.9,13.8,13.8,17.2,3.4,29
Parkes,44.4,0,16.7,16.7,16.7,5.6,18
Parramatta,19,28.6,23.8,14.3,9.5,4.8,21
Paterson,40.7,22.2,7.4,11.1,14.8,3.7,27
Pearce,41.7,25,8.3,16.7,8.3,0,24
Perth,23.1,23.1,15.4,26.9,11.5,0,26
Petrie,40.7,22.2,14.8,11.1,7.4,3.7,27
Port Adelaide,48.3,20.7,6.9,17.2,3.4,3.4,29
Rankin,37.5,16.7,25,16.7,4.2,0,24
Reid,15,15,30,15,20,5,20
Richmond,40.6,12.5,9.4,15.6,18.8,3.1,32
Riverina,47.1,23.5,17.6,11.8,0,0,17
Robertson,37.5,12.5,15.6,18.8,15.6,0,32
Ryan,25.8,22.6,16.1,9.7,25.8,0,31
Scullin,42.9,28.6,14.3,3.6,7.1,3.6,28
Shortland,32.3,22.6,16.1,16.1,9.7,3.2,31
Solomon,15.8,26.3,5.3,15.8,31.6,5.3,19
Stirling,21.7,17.4,26.1,21.7,8.7,4.3,23
Sturt,25.8,29,9.7,16.1,16.1,3.2,31
Swan,39.1,30.4,4.3,8.7,17.4,0,23
Sydney,19,19,14.3,19,28.6,0,21
Tangney,22.6,22.6,32.3,6.5,12.9,3.2,31
Throsby,35,20,30,10,5,0,20
Wakefield,35.7,25,14.3,7.1,10.7,7.1,28
Wannon,20,24,16,20,20,0,25
Warringah,12,12,32,32,8,4,25
Watson,33.3,27.8,11.1,11.1,16.7,0,18
Wentworth,27.3,4.5,9.1,13.6,45.5,0,22
Werriwa,31.6,26.3,21.1,10.5,5.3,5.3,19
Wide Bay,31.6,26.3,15.8,15.8,5.3,5.3,38
Wills,3.8,11.5,19.2,30.8,34.6,0,26
Wright,43.5,13,17.4,13,8.7,4.3,23
Total,29,20.2,16.5,16.4,15.2,2.8,"3,955"
